Order,County_Name,Country,Latitude,Longitude
1,Abitibi,Canada,48.71772409976234,-77.9142732
2,Abitibi-Ouest,Canada,48.7751076997481,-79.0906094
3,Acton,Canada,45.62006480039728,-72.5202299
4,Alberni-Clayoquot,Canada,49.19777339964351,-125.43639379999998
5,Albert,Canada,45.78251810037488,-64.87984679999998
6,Algoma,Canada,47.81341269998179,-84.65565169999999
7,Annapolis,Canada,44.70649320049359,-65.2498142
8,Antigonish,Canada,45.70355890038595,-61.8626826
9,Antoine-Labelle,Canada,46.87754510018607,-75.1714922
10,Argenteuil,Canada,45.6945241003872,-74.4707874
11,Argyle,Canada,49.12167039966225,-101.4866484
12,Arthabaska,Canada,45.99658320034304,-71.9875776
13,Athabasca,Canada,54.77406289935524,-112.92564349999999
14,Auvergne,Canada,49.652209799533246,-107.443137
15,Avignon,Canada,48.106227499912244,-66.7480815
16,Barrhead,Canada,54.16886749921499,-114.4747952
17,Beauce-Sartigan,Canada,45.97573230034626,-70.6536964
18,Beauharnois-Salaberry,Canada,45.260542000441276,-73.92763139999998
19,Beaver,Canada,53.22108149909777,-112.16178749999999
20,Beaverlodge (town),Canada,55.208746299487,-119.42570289999999
21,Bécancour,Canada,46.3715923002811,-72.18563429999999
22,Bellechasse,Canada,46.68128850022441,-70.7482234
23,Belleville (city),Canada,44.243632800522676,-77.36075969999999
24,Betula Beach (summer village),Canada,53.54290319912375,-114.68425589999998
25,Bighorn,Canada,51.37285709919018,-115.0327255
26,Big Lakes,Canada,55.370261899542285,-115.9574591
27,Big Stick,Canada,50.18729399941046,-109.48576309999999
28,Birch Hills,Canada,55.75975409968887,-117.99945739999997
29,Blucher No. 343,Canada,52.016781699116045,-106.20715899999999
30,Bonaventure,Canada,48.30621979986374,-65.5717453
31,Bondiss (summer village),Canada,54.60065159930985,-112.69767579999998
32,Bone Creek,Canada,49.83015469949137,-108.23916039999999
33,Bonnyville,Canada,54.431631699269616,-110.5826304
34,Bonnyville (town),Canada,54.266459099234154,-110.74262280000002
35,Bow Island (town),Canada,49.87153839948176,-111.3759524
36,Brant,Canada,43.10108040053876,-80.42882169999999
37,Brazeau,Canada,53.20878079909706,-115.16089379999998
38,Breton (village),Canada,53.11268609909211,-114.47188359999998
39,Brockville (city),Canada,44.6039207005012,-75.70168290000001
40,Brome-Missisquoi,Canada,45.15959280045223,-72.7602985
41,Bruce,Canada,44.6521865004977,-81.20933740000001
42,Bulkley-Nechako,Canada,54.53161689929294,-125.60562559999997
43,Cambria,Canada,49.14396359965676,-103.40438359999999
44,Camrose,Canada,52.91043749908563,-112.7266876
45,Caniapiscau,Canada,53.36004399910731,-68.6356301
46,Canmore (town),Canada,51.056475299239786,-115.3378033
47,Cape Breton,Canada,46.01374440034036,-60.214020500000004
48,Capital,Canada,48.45581799982706,-123.47337959999999
49,Cardston,Canada,49.31264089961528,-113.1438817
50,Cardston (town),Canada,49.193069399644635,-113.30929619999999
51,Cariboo,Canada,52.355087299093775,-122.99279059999998
52,Carleton,Canada,46.39408350027713,-67.491134
53,Carmichael,Canada,49.917270699471196,-108.65469459999998
54,Castle Island (summer village),Canada,53.70816409914257,-114.34072499999999
55,Central Coast,Canada,52.12296099910772,-127.12188220000002
56,Central Kootenay,Canada,49.89606919947609,-117.44220169999998
57,Central Okanagan,Canada,49.952719299463084,-119.4424386
58,Chaplin No. 164,Canada,50.428696399358834,-106.60956199999998
59,Charlevoix,Canada,47.64934470001976,-70.7362215
60,Charlevoix-Est,Canada,47.851111199972955,-70.0790336
61,Charlotte,Canada,45.22745080044494,-66.9308031
62,Chatham-Kent (municipality),Canada,42.41833000051328,-82.0898417
63,Clear Hills,Canada,56.851866200183835,-119.10859480000002
64,Clearwater County,Canada,52.316040699095694,-115.626617
65,Clinworth,Canada,50.773472499290385,-109.1303061
66,Coaticook,Canada,45.15006990045323,-71.74600859999998
67,Cochrane,Canada,50.63089799931787,-82.1914444
68,Colchester,Canada,45.43773290042059,-63.3488873
69,Columbia-Shuswap,Canada,51.47833939917543,-117.92957670000001
70,Comox Valley,Canada,49.67098099952881,-125.03532529999997
71,Corman Park,Canada,52.260619699098726,-106.7902157
72,Cornwall (city),Canada,45.04699890046369,-74.7333845
73,Coulee,Canada,50.18729399941046,-107.443137
74,County of Barrhead,Canada,54.17230109921566,-114.54856519999998
75,Cowichan Valley,Canada,48.835965499733014,-124.1502799
76,Crowsnest Pass (municipality),Canada,49.60553739954441,-114.49713959999998
77,Cumberland,Canada,45.68349020038874,-64.1938061
78,Cypress County,Canada,50.20173369940729,-110.51502099999999
79,D'Autray,Canada,46.2275021003058,-73.2839497
80,Deer Forks No. 232,Canada,50.77980409928921,-109.871258
81,Dehcho,Canada,61.98581340156216,-122.1586383
82,Deux-Montagnes,Canada,45.5255369004096,-73.9981516
83,Digby,Canada,44.358267500516725,-65.91071369999999
84,Drayton Valley (town),Canada,53.217492399097566,-114.9790101
85,Drumheller (town),Canada,51.416932499183886,-112.6402382
86,Drummond,Canada,45.86509130036291,-72.4527106
87,Dufferin,Canada,44.04974960053091,-80.1691941
88,Dundurn,Canada,51.84538389913193,-106.5475015
89,Durham,Canada,44.0310471005316,-78.949678
90,East Kootenay,Canada,50.039753199443304,-115.58750179999998
91,Edmonton (city),Canada,53.5264342991221,-113.5089858
92,Edson (town),Canada,53.58443589912813,-116.44829350000002
93,Eeyou Istchee,Canada,51.16529559922184,-78.3004409
94,Elgin,Canada,42.726952200527826,-81.3660384
95,Enfield No. 194,Canada,50.71644959930122,-106.662132
96,Enniskillen,Canada,49.12804009966068,-102.20701469999999
97,Enterprise,Canada,50.35049589937523,-109.88627800000002
98,Essex,Canada,42.23541420050247,-82.71201059999999
99,Estevan No. 5,Canada,49.09777289966815,-103.07827
100,Excelsior,Canada,50.50040259934404,-107.43312419999998
101,Fairview,Canada,56.03344019980234,-118.3818241
102,Fairview (town),Canada,56.07394699981981,-118.3797878
103,Flagstaff,Canada,52.71177559908427,-111.8125764
104,Foothills,Canada,50.644519699315175,-114.04478799999998
105,Forty Mile,Canada,49.47085069957677,-111.11415439999999
106,Fox Creek (town),Canada,54.406185299263896,-116.80049130000002
107,Fox Valley No. 171,Canada,50.439859099356504,-109.375621
108,Fraser-Fort George,Canada,53.985990599182706,-121.51716159999998
109,Fraser Valley,Canada,49.57231779955235,-121.87589840000001
110,Frontenac,Canada,44.61029020050074,-76.6330415
111,Frontier,Canada,49.130164599660155,-108.82171779999999
112,Gananoque (town),Canada,44.33527220051798,-76.1646638
113,Gatineau (ville),Canada,45.51292180041123,-75.6306189
114,Gibbons (town),Canada,53.820509399157494,-113.3281747
115,Glen Bain,Canada,49.92693889946899,-107.0200906
116,Glen McPherson,Canada,49.400359199593886,-107.4231088
